State,County,Total Equip Quantity,Total Cost,Mil Equip Quantity,Total Mil Cost
IA,CALHOUN,5,25552.0,5.0,25552.0
IA,CARROLL,4,357.42,2.0,240.0
IA,CASS,4,552.0,4.0,552.0
IA,CEDAR,33,10620.1,23.0,10033.0
IA,CERRO GORDO,43,782252.0,42.0,766704.0
IA,CHICKASAW,4,1996.0,4.0,1996.0
IA,CLARKE,2,998.0,2.0,998.0
IA,CLAY,8,3992.0,8.0,3992.0
IA,CLAYTON,21,2357.55,16.0,2064.0
IA,CRAWFORD,6,2994.0,6.0,2994.0
IA,DALLAS,9,125484.0,9.0,125484.0
IA,DAVIS,4,534.0,4.0,534.0
IA,DECATUR,1,120.0,1.0,120.0
IA,DES MOINES,8,960.0,8.0,960.0
IA,DICKINSON,5,2134.0,5.0,2134.0
IA,DUBUQUE,10,1380.0,10.0,1380.0
IA,EMMET,106,102537.86,25.0,88905.0
IA,FLOYD,10,3149.0,10.0,3149.0
IA,FRANKLIN,4,516.0,4.0,516.0
IA,FREMONT,11,5489.0,11.0,5489.0
IA,GREENE,6,271.15,6.0,271.15
IA,GUTHRIE,2,95978.0,2.0,95978.0
IA,HARRISON,4,552.0,4.0,552.0
IA,HOWARD,1,120.0,1.0,120.0
IA,IDA,10,1380.0,10.0,1380.0
IA,IOWA,3,396.0,3.0,396.0
IA,JACKSON,7,1219.0,7.0,1219.0
IA,JASPER,23,734118.35,9.0,734050.0
IA,JEFFERSON,18,4145.0,18.0,4145.0
IA,JOHNSON,36,5740.93,11.0,5489.0
IA,JONES,4,913.0,4.0,913.0
IA,KOSSUTH,4,913.0,4.0,913.0
IA,LEE,25,6645.0,25.0,6645.0
IA,LINN,169,77883.09,86.0,47743.0
IA,LOUISA,5,137161.0,5.0,137161.0
IA,MADISON,7,858.0,7.0,858.0
IA,MAHASKA,7,2771.0,7.0,2771.0
IA,MARION,10,1272.0,10.0,1272.0
IA,MARSHALL,18,28369.0,18.0,28369.0
